iter correct_number total_number mean_acc
0 1782.0 1900.0 0.9378947368421052
1 3564.0 3800.0 0.9378947368421052
2 5346.0 5700.0 0.9378947368421052
3 7128.0 7600.0 0.9378947368421052
4 8910.0 9500.0 0.9378947368421052
5 10692.0 11400.0 0.9378947368421052
6 12474.0 13300.0 0.9378947368421052
7 14256.0 15200.0 0.9378947368421052
8 16038.0 17100.0 0.9378947368421052
9 17820.0 19000.0 0.9378947368421052
10 19602.0 20900.0 0.9378947368421052
11 21384.0 22800.0 0.9378947368421052
12 23166.0 24700.0 0.9378947368421052
13 24948.0 26600.0 0.9378947368421052
14 26730.0 28500.0 0.9378947368421052
15 28512.0 30400.0 0.9378947368421052
16 30294.0 32300.0 0.9378947368421052
17 32076.0 34200.0 0.9378947368421052
18 33858.0 36100.0 0.9378947368421052
19 35640.0 38000.0 0.9378947368421052
18.757894736842104

0.9378947368421052
