iter correct_number total_number mean_acc
0 992.0 1000.0 0.992
1 1984.0 2000.0 0.992
2 2976.0 3000.0 0.992
3 3968.0 4000.0 0.992
4 4960.0 5000.0 0.992
5 5952.0 6000.0 0.992
6 6944.0 7000.0 0.992
7 7936.0 8000.0 0.992
8 8928.0 9000.0 0.992
9 9920.0 10000.0 0.992
10 10912.0 11000.0 0.992
11 11904.0 12000.0 0.992
12 12896.0 13000.0 0.992
13 13888.0 14000.0 0.992
14 14880.0 15000.0 0.992
15 15872.0 16000.0 0.992
16 16864.0 17000.0 0.992
17 17856.0 18000.0 0.992
18 18848.0 19000.0 0.992
19 19840.0 20000.0 0.992
19.84000000000001

0.9920000000000005
